iter	Passed	Remaining
0	1	191
1	3	171
2	5	172
3	6	159
4	8	154
5	9	151
6	11	151
7	12	148
8	14	146
9	15	143
10	17	141
11	19	140
12	20	139
13	22	136
14	23	133
15	25	132
16	26	129
17	28	127
18	29	126
19	31	124
20	32	122
21	33	120
22	35	117
23	36	115
24	38	114
25	39	113
26	40	110
27	42	108
28	43	107
29	45	105
30	46	102
31	47	100
32	48	98
33	50	97
34	52	96
35	53	95
36	55	93
37	56	91
38	57	90
39	59	89
40	61	87
41	61	85
42	62	83
43	64	81
44	64	79
45	66	77
46	67	75
47	68	74
48	69	72
49	70	70
50	70	68
51	71	65
52	72	63
53	72	61
54	73	59
55	73	58
56	75	56
57	76	55
58	77	53
59	77	51
60	78	50
61	79	48
62	79	46
63	80	45
64	81	43
65	82	42
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	86	33
72	87	32
73	88	30
74	88	29
75	89	28
76	89	26
77	90	25
78	91	24
79	91	22
80	93	21
81	94	20
82	95	19
83	95	18
84	96	17
85	97	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	104	5
95	105	4
96	105	3
97	106	2
98	107	1
99	107	0
